@attribute tituloNumerico real,@attribute descripcionNumerico real,@attribute keywordsNumerico real,@attribute totalPalabras real,@attribute numeroLinksTotales real,@attribute numeroLinksEnDiccionario real,@attribute h1EnDiccionario real,@attribute numeroImagenesTotales real,@attribute numeroImagenesConAltEnDicciona real,@attribute tituloNumericoEnlaces real,@attribute keywordsNumericoEnlaces real
0,4,0,439,278,16,0,62,1,0.00,0.00
1,0,1,61,43,4,1,2,0,0.00,0.00
1,0,2,203,18,0,0,0,0,0.00,0.00
0,2,0,243,223,18,1,50,2,0.00,0.00
0,1,4,220,33,4,0,28,1,0.00,0.00
0,1,0,33,93,10,0,110,1,0.00,0.00
10,12,14,194,62,25,2,28,18,5.33,10.00
10,8,9,215,185,91,0,36,21,3.20,1.20
4,2,50,143,166,3,0,11,0,2.20,0.00
17,12,91,1570,531,295,1,164,141,2.00,6.40
5,0,0,1062,54,44,0,3,2,2.40,7.60
9,8,17,253,124,77,0,1,0,3.00,0.00
5,12,22,122,125,16,4,46,21,3.00,24.00
6,18,67,281,484,176,1,206,140,6.20,10.60
6,9,11,176,112,44,0,25,22,2.20,9.00
4,6,3,124,421,203,0,173,9,4.20,6.40
6,3,18,475,431,158,1,55,0,2.60,8.40
10,9,21,155,224,133,2,24,18,0.00,0.00
0,0,0,288,20,1,0,37,2,0.33,0.00
8,10,20,577,111,29,0,62,54,7.50,14.50
2,6,30,923,281,160,0,74,11,4.60,30.80
12,7,12,325,161,93,1,32,15,8.20,9.40
5,7,17,116,206,96,0,41,37,1.00,0.00
11,14,34,583,206,124,1,85,85,1.80,1.60
9,6,23,519,366,104,0,167,73,2.40,10.60
3,0,7,180,287,130,0,14,2,5.40,5.40
4,8,17,124,47,23,1,29,24,0.00,0.00
12,13,17,299,492,209,0,188,155,10.20,13.60
10,11,0,270,149,38,0,60,60,0.00,0.00
5,8,13,140,103,47,0,68,42,6.60,18.00
7,8,27,284,142,20,2,46,6,2.60,9.60
11,5,13,915,274,129,1,35,17,14.20,15.00
8,20,33,428,252,167,1,6,5,4.20,13.60
3,6,8,91,417,45,1,9,6,5.00,4.60
0,0,2,402,121,57,0,2,0,0.40,2.80
3,6,20,16,289,53,0,104,95,2.75,7.25
0,2,1,692,47,5,0,47,0,0.50,0.00
9,8,26,43,528,264,0,177,147,2.00,5.80
0,4,32,154,298,87,0,52,35,2.75,10.50
1,23,24,188,256,111,0,79,75,1.80,3.40
22,19,6,1371,588,355,0,53,44,7.75,7.75
1,4,25,5,142,100,0,24,0,1.60,0.00
5,0,0,1025,240,112,1,76,50,1.33,4.00
4,7,25,302,46,15,0,0,0,3.00,13.50
2,10,25,311,87,11,0,5,2,3.25,2.00
6,0,0,1705,329,232,0,1,0,1.20,0.00
1,7,26,2123,783,399,0,36,7,2.00,9.20
4,2,8,105,156,88,0,24,17,1.60,12.00
5,18,43,193,308,66,34,14,1,3.80,4.40
4,2,15,603,168,64,0,79,65,1.40,0.80
6,7,24,16,208,103,0,60,34,1.00,4.40
16,8,6,47,137,87,0,0,0,0.00,0.00
24,18,10,1669,397,129,0,159,43,7.20,10.80
11,9,11,1409,526,305,0,59,49,22.20,10.80
0,11,21,7,76,15,0,59,47,4.25,8.50
11,25,45,1887,950,821,0,1,0,2.20,5.80
0,0,0,1803,180,41,0,0,0,2.00,0.40
3,4,16,38,265,68,0,102,4,0.00,0.00
1,2,3,928,657,424,0,24,1,3.80,12.40
3,0,0,26,257,204,0,21,0,3.75,4.00
0,10,13,307,179,100,7,17,14,2.20,14.20
3,2,5,1072,583,335,1,42,9,5.40,12.60
6,19,20,355,327,151,0,83,63,24.60,17.00
34,38,1,1549,575,296,0,57,42,15.60,27.20
28,19,10,1012,598,328,0,64,43,6.40,25.80
3,0,0,239,209,111,1,54,21,5.40,14.20
16,9,16,353,183,145,1,42,20,9.60,9.60
9,6,6,155,426,136,0,42,41,9.00,21.60
5,0,0,353,225,140,0,3,3,6.00,9.60
3,11,9,517,193,110,0,54,0,1.00,3.20
11,10,71,436,26,12,1,6,1,5.00,0.00
12,17,164,2025,580,420,1,37,37,4.60,29.20
4,6,7,194,515,385,1,386,336,4.40,9.60
5,3,0,167,327,82,0,62,60,3.00,36.80
26,20,6,1378,220,117,1,51,44,6.60,4.40
18,13,11,2101,383,193,1,48,42,14.00,46.20
16,13,14,2217,299,143,1,61,43,3.40,1.60
35,0,11,1812,242,114,1,61,42,4.00,3.00
38,34,18,1649,218,113,1,31,3,10.00,3.60
21,14,12,1096,361,133,0,150,44,5.75,5.50
2,2,0,2245,185,34,0,7,0,0.00,0.00
0,4,1,31,51,11,0,24,1,0.50,1.25
0,0,0,153,96,4,0,6,1,0.00,0.00
2,3,2,236,116,9,0,3,0,0.00,0.00
1,1,2,247,526,82,0,18,1,0.00,0.00
0,5,2,313,270,25,0,34,17,0.33,0.00
0,1,0,966,329,53,0,25,5,0.00,0.00
0,3,0,14,21,5,0,1,1,0.00,0.00
1,0,0,191,77,5,0,8,1,0.00,0.00
0,0,0,390,22,1,0,1,0,0.25,0.25
0,1,0,200,123,13,0,33,2,0.00,0.00
0,1,0,97,31,0,0,0,0,0.00,0.00
0,2,2,176,26,3,0,20,0,0.00,0.00
0,6,0,102,77,1,0,21,1,0.00,0.00
1,1,0,406,256,9,0,32,0,0.00,0.00
0,0,0,1168,160,11,0,31,0,0.00,0.00
0,1,2,35,19,3,0,15,4,0.00,0.00
1,3,0,850,401,42,0,11,1,0.00,0.00
0,2,0,221,24,2,0,4,0,0.00,0.00
0,0,0,2,25,0,0,24,0,0.00,0.00
0,0,0,3,1,0,0,0,0,0.00,0.00
1,3,2,674,239,19,0,247,6,1.60,1.80
0,0,0,33,1,0,0,0,0,0.00,0.00
0,0,0,97,60,2,0,11,0,0.00,0.00
0,3,0,4207,388,29,20,28,0,0.00,0.00
0,1,0,193,76,4,0,11,0,0.00,0.00
0,0,0,119,53,1,0,13,1,0.00,0.00
1,0,0,0,0,0,0,0,0,0.00,0.00
1,2,0,106,89,5,0,19,1,0.00,0.00
0,2,0,37,99,18,0,33,2,0.00,0.00
0,0,0,65,14,0,0,8,0,0.00,0.00
0,3,0,153,81,3,0,15,1,0.00,0.00
0,0,0,1883,228,17,0,20,1,0.50,0.00
1,2,0,1004,227,8,0,29,0,0.00,0.00
1,0,0,270,82,5,0,2,0,0.00,0.00
1,0,0,535,34,2,0,37,1,0.00,0.00
2,0,0,970,167,32,0,18,0,0.00,0.00
0,0,0,651,205,28,0,32,2,0.00,0.00
1,0,0,1600,136,18,0,43,11,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,0,0,90,327,15,0,2,0,0.00,0.00
4,5,4,89,61,4,0,33,2,0.00,0.00
3,4,3,2349,110,7,0,14,1,0.00,0.00
1,1,0,0,0,0,0,0,0,0.00,0.00
1,2,3,124,86,3,0,6,0,0.00,0.00
0,2,0,562,220,30,0,37,2,0.00,0.00
0,0,0,54,1,0,0,1,0,0.00,0.00
2,5,3,603,109,6,0,43,1,0.00,0.00
0,0,0,113,31,1,0,1,0,0.00,0.00
0,0,0,892,62,3,0,15,2,0.00,0.00
1,0,0,2121,625,43,0,82,3,0.00,0.00
0,0,0,578,223,17,0,29,5,0.00,0.00
2,5,2,215,123,4,0,23,2,0.00,0.00
0,0,0,956,121,4,0,1,0,0.00,0.00
1,0,0,1659,139,11,0,38,1,0.00,0.00
0,0,0,352,9,1,0,14,0,0.00,0.00
0,0,0,5949,169,7,0,2,0,0.00,0.00
0,1,0,906,352,23,0,9,0,0.00,0.00
2,2,0,804,314,39,0,6,3,0.00,0.00
1,0,1,692,120,7,1,6,3,0.00,0.00
1,1,0,111,39,3,0,7,0,0.00,0.00
1,0,2,237,20,0,0,0,0,0.00,0.00
0,0,1,1351,227,23,0,5,4,0.00,0.00
0,0,0,1,0,0,0,0,0,0.00,0.00
0,2,0,263,251,9,0,4,0,3.00,1.50
0,3,0,947,86,13,0,12,1,0.00,0.00
2,8,2,1489,657,36,0,2,1,0.00,0.00
1,1,4,1121,108,28,0,94,4,0.00,0.00
1,1,2,1729,247,23,0,165,10,0.00,0.00
1,2,0,222,27,3,0,3,1,0.00,0.00
0,0,0,3736,631,45,0,7,0,0.00,0.00
2,0,0,669,74,5,0,23,1,0.00,0.00
0,2,0,242,223,19,1,50,2,0.00,0.00
0,1,0,233,44,1,0,21,1,0.00,0.00
0,1,4,220,23,2,0,28,1,0.00,0.00
0,0,0,194,57,0,0,21,0,0.00,0.00
2,4,1,0,10,0,0,0,0,0.00,0.00
0,4,1,439,269,35,0,45,23,0.00,0.00
1,0,0,59,121,21,0,12,1,0.00,0.00
0,2,0,86,114,5,0,1,0,0.00,0.00
1,1,0,248,14,2,0,0,0,0.00,0.00
1,6,0,64,115,4,0,23,2,0.00,0.00
1,0,0,274,48,12,0,11,4,0.00,0.00
1,0,1,61,43,4,1,2,0,0.00,0.00
0,0,0,1796,131,3,0,17,0,0.00,0.00
0,0,1,74,13,3,0,7,2,0.00,0.00
0,1,0,6,35,6,0,2,0,0.00,0.00
1,0,0,44,49,5,0,6,1,0.00,0.00
0,0,0,74,27,0,0,73,0,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,3,0,568,402,65,1,58,1,0.00,0.00
1,7,1,169,23,3,0,7,3,0.00,0.00
0,0,0,301,37,3,0,14,0,0.00,0.00
0,3,4,1336,397,114,0,5,0,0.00,0.00
0,1,0,766,146,4,0,21,1,0.00,0.00
0,4,8,982,139,11,0,97,0,0.00,0.00
0,2,2,621,224,25,0,20,1,0.20,0.00
0,5,0,630,221,23,0,30,0,0.00,0.00
0,0,0,848,38,0,0,17,0,0.00,0.00
1,2,0,213,78,22,0,24,5,0.00,0.00
1,1,0,3551,207,11,0,118,11,0.00,0.00
1,0,0,249,250,16,0,46,1,0.00,0.00
0,1,0,393,427,27,0,30,4,0.00,0.00
1,1,0,7194,13,2,0,4,0,0.00,0.00
0,5,0,441,61,4,0,2,1,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
1,0,0,598,169,1,0,119,12,0.00,0.00
0,0,0,344,61,12,0,2,0,0.00,0.00
0,1,0,37,35,3,0,5,0,0.00,0.00
1,1,0,1101,47,10,0,12,1,0.00,0.00
0,0,0,107,63,10,1,19,2,0.00,0.00
0,0,0,1281,561,38,0,40,0,0.00,0.00
1,2,1,11972,149,49,0,40,5,0.00,0.00
0,0,0,22,13,2,0,3,0,0.00,0.00
0,3,0,49,12,2,0,2,1,0.00,0.00
1,1,0,137,27,3,0,10,4,0.00,0.00
1,5,2,66,140,16,0,39,14,0.00,0.00
0,0,0,25,24,0,0,23,1,0.00,0.00
1,0,0,182,105,6,0,10,4,0.00,0.00
0,3,0,307,397,38,0,87,26,0.00,0.00
0,1,4,23,65,2,0,8,0,0.00,0.00
0,0,0,31,13,0,0,18,2,0.00,0.00
1,0,2,85,177,16,0,1,0,0.00,0.00
2,1,0,93,123,12,1,26,0,0.00,0.00
2,3,2,363,67,6,0,7,2,0.00,0.00
0,0,0,481,335,49,0,52,5,0.00,0.00
0,1,0,1092,259,19,0,32,4,0.00,0.00
0,0,0,262,31,3,0,15,1,0.00,0.00
1,1,1,596,168,13,0,32,5,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,0,0,4,6,0,0,1,0,0.00,0.00
0,0,0,141,15,1,1,12,2,0.00,0.00
0,6,0,102,77,1,0,21,1,0.00,0.00
1,1,0,257,29,3,0,2,1,0.00,0.00
0,0,0,3238,131,8,0,84,1,0.00,0.00
0,1,1,68,75,22,0,43,4,0.00,0.00
0,0,0,10,0,0,0,1,0,0.00,0.00
1,1,2,0,4,0,0,3,2,0.00,0.00
1,0,0,261,343,16,0,4,0,0.00,0.00
1,3,3,109,27,2,0,14,0,0.00,0.00
1,7,3,37,10,3,0,4,0,0.00,0.00
1,8,5,241,116,23,0,5,0,0.00,0.00
0,1,0,448,63,4,0,15,1,0.00,0.00
0,0,0,3938,697,69,0,308,31,0.00,0.00
0,1,1,133,11,0,0,5,0,0.60,0.80
0,3,0,1975,148,19,0,23,2,0.00,0.00
0,0,0,16,1,0,0,0,0,0.00,0.00
0,1,0,3045,244,11,0,20,4,0.40,0.40
0,0,0,902,317,24,1,42,5,0.00,0.00
0,2,0,4990,114,12,0,1,0,0.00,0.00
1,1,0,1028,123,22,0,5,0,0.00,0.00
1,4,1,108,83,12,0,3,0,0.00,0.00
0,0,0,230,111,12,0,29,3,0.00,0.00
0,5,0,87,50,3,0,5,0,0.00,0.00
0,1,0,374,206,11,0,31,1,0.00,0.00
1,0,0,383,88,10,0,7,0,0.00,0.00
0,0,0,431,303,29,0,25,1,0.00,0.00
0,0,0,44,0,0,0,0,0,0.00,0.00
0,3,1,1182,296,39,0,41,19,0.00,0.00
0,4,0,88,92,9,0,58,1,0.00,0.00
0,0,0,0,3,0,0,9,0,0.00,0.00
0,2,1,140,58,9,0,1,0,0.00,0.00
0,0,0,10,11,0,0,5,0,0.00,0.00
0,1,0,203,54,7,1,22,3,0.00,0.00
0,0,0,89,140,15,0,3,1,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,0,4,245,56,2,0,10,0,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
1,3,3,1049,105,4,0,67,1,0.00,0.00
0,2,1,274,107,15,0,14,3,0.00,0.00
1,0,0,201,268,30,0,4,0,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,0,0,1752,156,16,0,32,1,0.00,0.00
2,4,2,888,34,3,0,61,3,0.00,0.00
0,2,2,51,48,4,1,6,0,0.00,0.00
