@attribute tituloNumerico real,@attribute descripcionNumerico real,@attribute keywordsNumerico real,@attribute totalPalabras real,@attribute numeroLinksTotales real,@attribute numeroLinksEnDiccionario real,@attribute h1EnDiccionario real,@attribute numeroImagenesTotales real,@attribute numeroImagenesConAltEnDicciona real,@attribute tituloNumericoEnlaces real,@attribute keywordsNumericoEnlaces real
10,9,20,135,171,32,1,24,0,8.60,25.20
2,12,13,194,299,93,0,4,0,3.60,9.00
2,2,5,293,167,20,0,120,1,0.00,0.00
3,0,0,62,190,11,0,0,0,0.00,0.00
8,13,11,488,217,83,0,153,122,2.00,1.60
4,8,20,1187,928,348,0,186,130,6.25,28.25
4,7,38,215,194,90,0,75,0,2.80,13.80
6,7,9,309,379,57,0,95,27,3.00,3.20
5,13,14,120,460,100,0,96,29,5.40,26.80
3,0,0,31,147,30,0,105,0,5.00,0.00
7,11,0,292,417,79,0,316,291,5.00,1.00
5,11,7,149,278,58,0,158,90,1.40,3.60
4,5,7,549,174,24,0,0,0,5.00,9.60
5,7,2,246,399,224,0,18,15,3.80,8.20
6,5,10,188,314,80,0,164,100,0.00,0.00
7,8,0,86,236,43,0,171,112,2.33,6.00
5,2,0,87,609,149,0,239,130,5.75,6.50
0,0,5,245,987,80,0,173,171,0.00,5.00
1,0,0,4,217,39,0,106,78,2.20,6.20
1,4,15,91,210,31,0,107,43,0.40,5.60
2,0,0,3,245,23,0,200,0,1.00,0.00
4,0,0,214,382,47,0,125,121,2.50,31.50
1,0,0,489,758,237,0,140,22,0.00,0.00
8,9,14,154,483,220,0,200,200,1.60,0.00
6,11,0,146,467,158,1,164,154,3.00,2.00
10,13,22,304,413,28,0,206,135,2.20,4.20
6,6,7,44,251,32,0,1,1,6.60,14.00
2,5,18,1399,221,59,0,103,54,1.60,10.40
5,0,0,22,231,88,0,104,84,2.50,0.00
2,25,16,536,110,15,1,86,85,0.80,4.00
0,0,0,34,193,31,0,0,0,0.00,0.00
7,14,14,205,311,80,1,187,100,0.00,2.00
0,2,4,76,778,45,0,205,170,0.00,0.00
1,6,0,404,339,171,0,5,4,2.20,5.00
5,5,3,70,619,40,0,242,190,1.40,9.80
0,0,0,285,169,10,0,4,1,0.40,0.20
0,0,0,425,106,2,0,62,23,0.00,0.00
0,0,1,299,33,0,0,14,3,0.75,0.50
0,0,2,1892,62,3,0,7,0,0.25,0.75
4,6,0,40,27,4,1,1,0,2.00,0.00
1,2,2,169,21,2,0,2,1,0.80,1.20
2,5,4,308,117,22,2,24,5,0.20,0.20
0,5,5,582,247,15,0,78,0,0.60,1.20
0,6,0,227,310,25,2,26,0,0.20,0.00
1,1,0,43,62,3,0,21,1,0.20,0.40
1,1,1,135,176,11,1,18,0,0.40,0.40
1,0,0,33,21,2,0,34,1,0.00,0.00
1,0,0,668,88,2,0,52,8,0.25,1.75
1,2,1,216,97,4,0,3,0,0.00,0.00
1,2,0,1845,71,6,0,10,0,0.40,0.00
0,1,5,3115,189,25,0,122,3,0.00,0.00
0,0,0,22,10,0,0,3,0,0.00,0.00
0,4,5,42,22,0,0,39,0,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
5,5,7,169,31,5,0,24,0,0.20,0.20
0,0,0,771,61,1,0,3,1,1.00,0.00
0,0,0,130,17,0,0,0,0,0.00,0.00
1,2,0,297,115,22,1,21,7,0.50,1.25
2,0,2,248,195,23,0,14,0,0.40,1.80
0,0,0,982,85,14,0,4,0,0.33,1.00
0,1,4,62,43,3,0,1,0,0.00,1.60
1,3,8,94,63,1,0,38,1,0.00,0.00
1,0,0,47,59,5,0,34,1,0.80,0.60
0,0,0,182,55,5,1,3,0,0.60,0.20
1,5,0,141,48,3,0,10,3,1.40,1.80
5,0,0,63,49,2,0,44,5,5.00,0.60
0,5,1,532,46,2,0,0,0,0.00,0.00
0,0,0,6,14,1,0,7,0,0.00,0.00
0,0,0,12,21,0,0,6,1,0.00,0.00
0,0,3,94,11,1,0,3,0,0.50,0.25
0,0,0,0,4,0,0,1,0,0.00,0.00
1,0,1,2432,573,24,0,7,1,0.40,0.20
0,3,0,957,91,13,0,12,1,0.00,0.00
0,0,0,69,24,0,0,11,0,0.20,0.20
0,3,0,107,132,15,0,8,0,0.20,0.00
0,3,3,442,61,15,0,23,1,0.40,1.80
0,0,0,851,115,3,0,101,2,0.40,0.20
0,1,0,247,136,8,0,42,0,0.00,0.00
1,0,0,100,126,15,0,14,0,0.40,1.00
0,8,2,158,442,72,0,50,1,0.60,1.00
0,1,3,1446,671,40,0,220,0,0.20,0.00
0,1,0,360,177,8,0,43,0,0.00,0.40
0,1,4,406,61,2,0,18,1,1.00,10.00
0,3,0,745,943,98,0,54,4,0.80,1.80
0,0,0,417,23,1,0,0,0,0.00,0.00
1,1,0,137,68,2,0,18,3,0.00,0.50
0,1,5,41,96,9,0,9,0,0.80,0.80
1,2,0,1241,72,6,0,1,0,0.75,1.00
1,0,0,132,79,10,0,24,1,0.40,0.00
0,0,0,378,87,8,0,21,2,2.00,3.00
0,0,1,1171,129,23,0,34,1,0.25,0.50
1,4,2,252,42,5,0,16,0,0.60,0.60
0,4,1,409,31,6,0,2,0,0.00,1.00
2,4,4,28,38,1,0,10,2,1.50,0.00
0,0,0,2380,38,1,0,3,0,0.80,1.60
0,0,0,49,15,0,0,8,0,0.00,0.00
1,0,0,120,15,4,0,6,0,1.20,1.00
0,0,0,544,60,7,0,5,0,0.00,0.00
0,2,6,1933,152,25,8,19,0,0.00,3.00
2,4,12,203,55,6,0,18,8,0.00,0.00
0,0,1,183,2,0,0,2,0,0.00,0.00
0,0,1,1603,129,29,0,18,3,0.00,2.20
1,1,0,568,183,23,0,14,1,0.00,1.20
1,4,5,171,43,7,3,4,0,0.00,0.00
3,7,3,125,20,1,1,8,2,0.00,0.00
3,5,20,53,15,3,1,1,0,0.00,0.00
1,5,9,131,24,2,0,2,0,0.00,0.00
0,1,2,468,27,4,0,1,0,0.33,0.00
2,2,0,99,34,5,0,14,3,0.80,0.80
0,1,0,53,40,3,0,9,1,0.00,0.00
0,1,2,266,60,4,0,14,0,0.00,0.00
1,0,0,502,31,7,0,1,0,0.40,0.00
1,1,0,1620,142,4,0,2,0,0.40,0.40
1,0,0,1521,45,2,4,4,1,0.25,0.00
1,3,1,715,23,3,1,7,4,0.00,0.00
0,0,0,3359,242,11,3,9,1,0.40,0.00
4,3,1,487,94,4,0,33,2,3.00,0.20
0,0,2,144,13,1,0,1,0,0.00,0.00
0,0,0,391,19,0,0,0,0,0.00,0.00
1,3,0,1481,89,9,0,9,0,0.40,0.60
0,1,0,706,47,3,0,3,0,0.00,0.20
0,2,0,322,18,2,0,5,0,0.33,0.00
0,0,0,156,56,2,0,3,0,0.60,0.20
0,0,0,325,21,0,0,24,3,0.20,0.00
1,1,0,250,89,11,0,13,2,0.40,0.40
1,2,0,134,112,11,0,33,0,0.00,0.00
0,0,0,76,113,4,0,1,0,0.33,1.00
1,1,1,755,16,0,0,0,0,0.50,0.00
0,1,0,210,8,0,0,3,0,0.00,0.20
1,0,5,302,102,5,0,20,0,0.20,1.60
0,3,0,337,75,3,1,44,2,0.20,0.80
4,0,0,476,31,1,0,14,1,0.00,0.00
0,0,2,111,74,0,0,19,0,0.00,0.00
3,0,0,130,29,5,0,10,2,0.25,0.75
1,1,1,166,38,1,0,3,0,0.00,0.00
2,2,3,40,106,10,0,55,0,0.00,0.00
1,2,2,589,100,21,1,5,0,1.33,0.00
1,4,1,205,65,1,0,61,21,0.00,0.00
2,0,0,139,123,8,0,4,0,0.25,1.00
2,2,0,27,67,3,0,11,0,0.00,0.00
0,0,0,37,32,3,0,9,0,0.00,0.00
1,1,2,1179,120,11,1,2,1,0.00,0.00
0,0,0,91,5,0,0,1,0,0.00,0.00
1,0,6,286,60,2,0,5,0,0.00,0.00
0,0,0,36,26,2,0,1,1,0.00,0.00
0,1,0,87,6,0,0,1,0,0.00,0.00
1,1,0,2686,592,22,0,32,0,0.00,0.00
